epoch,acc,loss,val_acc,val_loss
0,0.33742032115572135,1.7499524979362326,0.4005294042847289,1.5939856405442856
1,0.43658782960099274,1.5086107539418074,0.4675397159068257,1.438672176079851
2,0.47424152705141975,1.4002776670748256,0.49303428286478423,1.3713449341784483
3,0.501793862552332,1.33462905632573,0.5225689728202246,1.2788571907380193
4,0.5126615347145219,1.2924387123464414,0.5355252284347994,1.2618524343996003
5,0.5332125814214985,1.2461050634926616,0.5561437853205898,1.195435368612421
6,0.5432442787986277,1.2187892354233536,0.5175536483397521,1.285899625222857
7,0.5485736180291895,1.196741075524716,0.5660351199562684,1.1707715342819325
8,0.5626806924699296,1.1758151110521848,0.5579548749826718,1.2224125612229233
9,0.5679751994168938,1.1566164062424196,0.5720256468518327,1.1433054130191207
10,0.5709359434365254,1.143600312207426,0.5684034676169346,1.1510428221785747
11,0.5772405865766764,1.1368241201453109,0.5735581070454581,1.129039797634011
12,0.5838238879814555,1.1174191950697017,0.5149066714182243,1.3164232926218498
13,0.5839283848280958,1.1139138125506285,0.5957091241435574,1.0963046251274344
14,0.5901633634052039,1.1015956050683025,0.5841460149163289,1.124612605034699
15,0.5958758577491103,1.08928532751174,0.5573976163737586,1.2350770133049516
16,0.5946218955769692,1.0814508017072226,0.5945946074654778,1.084426938605179
17,0.5965376711146262,1.075765245037769,0.587210935002567,1.1259591837415426
18,0.6001950607833711,1.065235252244839,0.6015603360391719,1.0795852500570622
19,0.6043401024079488,1.0595620321485872,0.6001671904822052,1.0847677187223426
20,0.6086593054463619,1.0526705361603486,0.5856784749729416,1.1410194245891323
21,0.609112125118597,1.048306275312627,0.6108944125330259,1.0642232217193563
22,0.6145111289153158,1.0435242423808928,0.6064363462670362,1.0878629803503912
23,0.6108189069650495,1.0407448819006344,0.5986347301827064,1.0853713141496333
24,0.6118290431592742,1.0303877501078063,0.5664530635652318,1.17576642659451
25,0.613117837616051,1.0270375986824074,0.6005851341949661,1.0855459222986807
26,0.6178550280410255,1.0179653748179052,0.6131234457127295,1.0608596588646089
